prénom,nom,email,fonction
Sophie,Dubois,sophie.dubois@vivreauxlilas.fr,Présidente
Karim,Benali,karim.benali@vivreauxlilas.fr,Vice-président
Amélie,Nguyen,amelie.nguyen@vivreauxlilas.fr,Secrétaire
Jean-Pierre,Moreau,jp.moreau@vivreauxlilas.fr,Trésorier
Fatima,El Amrani,fatima.elamrani@vivreauxlilas.fr,Secrétaire adjointe
Lucas,Martinez,lucas.martinez@vivreauxlilas.fr,Trésorier adjoint
Chloé,Lefebvre,chloe.lefebvre@vivreauxlilas.fr,Responsable communication
Mohammed,Ouahbi,mohammed.ouahbi@vivreauxlilas.fr,Responsable événementiel
Aurélie,Dupont,aurelie.dupont@vivreauxlilas.fr,Responsable bénévoles
Théo,Rousseau,theo.rousseau@vivreauxlilas.fr,Chargé de projets
Nadia,Bouazizi,nadia.bouazizi@vivreauxlilas.fr,Suppléante communication
Alexandre,Schmitt,alexandre.schmitt@vivreauxlilas.fr,Suppléant événementiel
Léa,Chen,lea.chen@vivreauxlilas.fr,Suppléante bénévoles
Ibrahim,Diallo,ibrahim.diallo@vivreauxlilas.fr,Suppléant projets
Marie,Lecomte,marie.lecomte@vivreauxlilas.fr,Coordinatrice inter-associations
